Grubhub_slug,Grubhub_Business_Hours,Uber_Eats_slug,Uber_Eats_Business_Hours,is_out_of_range
,Monday: CLOSED - CLOSED,alisgyrolab_1upbistro_ue,Monday: 06:00 - 20:00,Out of Range
,Tuesday: CLOSED - CLOSED,alisgyrolab_1upbistro_ue,Tuesday: 06:00 - 20:00,Out of Range
,Wednesday: CLOSED - CLOSED,alisgyrolab_1upbistro_ue,Wednesday: 06:00 - 20:00,Out of Range
,Thursday: CLOSED - CLOSED,alisgyrolab_1upbistro_ue,Thursday: 06:00 - 20:00,Out of Range
,Friday: CLOSED - CLOSED,alisgyrolab_1upbistro_ue,Friday: 06:00 - 20:00,Out of Range
,Saturday: CLOSED - CLOSED,alisgyrolab_1upbistro_ue,Saturday: 06:00 - 19:00,Out of Range
,Sunday: CLOSED - CLOSED,alisgyrolab_1upbistro_ue,Sunday: 06:00 - 15:00,Out of Range
,Monday: CLOSED - CLOSED,fionasbreakfast_1upbistro_ue,Monday: 06:00 - 20:00,Out of Range
,Tuesday: CLOSED - CLOSED,fionasbreakfast_1upbistro_ue,Tuesday: 06:00 - 20:00,Out of Range
,Wednesday: CLOSED - CLOSED,fionasbreakfast_1upbistro_ue,Wednesday: 06:00 - 20:00,Out of Range
,Thursday: CLOSED - CLOSED,fionasbreakfast_1upbistro_ue,Thursday: 06:00 - 20:00,Out of Range
,Friday: CLOSED - CLOSED,fionasbreakfast_1upbistro_ue,Friday: 06:00 - 20:00,Out of Range
,Saturday: CLOSED - CLOSED,fionasbreakfast_1upbistro_ue,Saturday: 06:00 - 19:00,Out of Range
,Sunday: CLOSED - CLOSED,fionasbreakfast_1upbistro_ue,Sunday: 06:00 - 15:00,Out of Range
,Monday: CLOSED - CLOSED,fionaspancakeba_1upbistro_ue,Monday: 06:00 - 20:00,Out of Range
,Tuesday: CLOSED - CLOSED,fionaspancakeba_1upbistro_ue,Tuesday: 06:00 - 20:00,Out of Range
,Wednesday: CLOSED - CLOSED,fionaspancakeba_1upbistro_ue,Wednesday: 06:00 - 20:00,Out of Range
,Thursday: CLOSED - CLOSED,fionaspancakeba_1upbistro_ue,Thursday: 06:00 - 20:00,Out of Range
,Friday: CLOSED - CLOSED,fionaspancakeba_1upbistro_ue,Friday: 06:00 - 20:00,Out of Range
,Saturday: CLOSED - CLOSED,fionaspancakeba_1upbistro_ue,Saturday: 06:00 - 19:00,Out of Range
,Sunday: CLOSED - CLOSED,fionaspancakeba_1upbistro_ue,Sunday: 06:00 - 15:00,Out of Range
,Monday: CLOSED - CLOSED,generalsfrencht_1upbistro_ue,Monday: 06:00 - 20:00,Out of Range
,Tuesday: CLOSED - CLOSED,generalsfrencht_1upbistro_ue,Tuesday: 06:00 - 20:00,Out of Range
,Wednesday: CLOSED - CLOSED,generalsfrencht_1upbistro_ue,Wednesday: 06:00 - 20:00,Out of Range
,Thursday: CLOSED - CLOSED,generalsfrencht_1upbistro_ue,Thursday: 06:00 - 20:00,Out of Range
,Friday: CLOSED - CLOSED,generalsfrencht_1upbistro_ue,Friday: 06:00 - 20:00,Out of Range
,Saturday: CLOSED - CLOSED,generalsfrencht_1upbistro_ue,Saturday: 06:00 - 19:00,Out of Range
,Sunday: CLOSED - CLOSED,generalsfrencht_1upbistro_ue,Sunday: 06:00 - 15:00,Out of Range
,Monday: CLOSED - CLOSED,hydesgrilledche_1upbistro_ue,Monday: 06:00 - 20:00,Out of Range
,Tuesday: CLOSED - CLOSED,hydesgrilledche_1upbistro_ue,Tuesday: 06:00 - 20:00,Out of Range
,Wednesday: CLOSED - CLOSED,hydesgrilledche_1upbistro_ue,Wednesday: 06:00 - 20:00,Out of Range
,Thursday: CLOSED - CLOSED,hydesgrilledche_1upbistro_ue,Thursday: 06:00 - 20:00,Out of Range
,Friday: CLOSED - CLOSED,hydesgrilledche_1upbistro_ue,Friday: 06:00 - 20:00,Out of Range
,Saturday: CLOSED - CLOSED,hydesgrilledche_1upbistro_ue,Saturday: 06:00 - 19:00,Out of Range
,Sunday: CLOSED - CLOSED,hydesgrilledche_1upbistro_ue,Sunday: 06:00 - 15:00,Out of Range
,Monday: CLOSED - CLOSED,manhattansaladb_1upbistro_ue,Monday: 06:00 - 20:00,Out of Range
,Tuesday: CLOSED - CLOSED,manhattansaladb_1upbistro_ue,Tuesday: 06:00 - 20:00,Out of Range
,Wednesday: CLOSED - CLOSED,manhattansaladb_1upbistro_ue,Wednesday: 06:00 - 20:00,Out of Range
,Thursday: CLOSED - CLOSED,manhattansaladb_1upbistro_ue,Thursday: 06:00 - 20:00,Out of Range
,Friday: CLOSED - CLOSED,manhattansaladb_1upbistro_ue,Friday: 06:00 - 20:00,Out of Range
,Saturday: CLOSED - CLOSED,manhattansaladb_1upbistro_ue,Saturday: 06:00 - 19:00,Out of Range
,Sunday: CLOSED - CLOSED,manhattansaladb_1upbistro_ue,Sunday: 06:00 - 15:00,Out of Range
,Monday: CLOSED - CLOSED,tacoparadiso_1upbistro_ue,Monday: 06:00 - 20:00,Out of Range
,Tuesday: CLOSED - CLOSED,tacoparadiso_1upbistro_ue,Tuesday: 06:00 - 20:00,Out of Range
,Wednesday: CLOSED - CLOSED,tacoparadiso_1upbistro_ue,Wednesday: 06:00 - 20:00,Out of Range
,Thursday: CLOSED - CLOSED,tacoparadiso_1upbistro_ue,Thursday: 06:00 - 20:00,Out of Range
,Friday: CLOSED - CLOSED,tacoparadiso_1upbistro_ue,Friday: 06:00 - 20:00,Out of Range
,Saturday: CLOSED - CLOSED,tacoparadiso_1upbistro_ue,Saturday: 06:00 - 19:00,Out of Range
,Sunday: CLOSED - CLOSED,tacoparadiso_1upbistro_ue,Sunday: 06:00 - 15:00,Out of Range
,Monday: CLOSED - CLOSED,thebagelsavage_1upbistro_ue,Monday: 06:00 - 20:00,Out of Range
,Tuesday: CLOSED - CLOSED,thebagelsavage_1upbistro_ue,Tuesday: 06:00 - 20:00,Out of Range
,Wednesday: CLOSED - CLOSED,thebagelsavage_1upbistro_ue,Wednesday: 06:00 - 20:00,Out of Range
,Thursday: CLOSED - CLOSED,thebagelsavage_1upbistro_ue,Thursday: 06:00 - 20:00,Out of Range
,Friday: CLOSED - CLOSED,thebagelsavage_1upbistro_ue,Friday: 06:00 - 20:00,Out of Range
,Saturday: CLOSED - CLOSED,thebagelsavage_1upbistro_ue,Saturday: 06:00 - 19:00,Out of Range
,Sunday: CLOSED - CLOSED,thebagelsavage_1upbistro_ue,Sunday: 06:00 - 15:00,Out of Range
,Monday: CLOSED - CLOSED,wondaswrapcafe_1upbistro_ue,Monday: 06:00 - 20:00,Out of Range
,Tuesday: CLOSED - CLOSED,wondaswrapcafe_1upbistro_ue,Tuesday: 06:00 - 20:00,Out of Range
,Wednesday: CLOSED - CLOSED,wondaswrapcafe_1upbistro_ue,Wednesday: 06:00 - 20:00,Out of Range
,Thursday: CLOSED - CLOSED,wondaswrapcafe_1upbistro_ue,Thursday: 06:00 - 20:00,Out of Range
,Friday: CLOSED - CLOSED,wondaswrapcafe_1upbistro_ue,Friday: 06:00 - 20:00,Out of Range
,Saturday: CLOSED - CLOSED,wondaswrapcafe_1upbistro_ue,Saturday: 06:00 - 19:00,Out of Range
,Sunday: CLOSED - CLOSED,wondaswrapcafe_1upbistro_ue,Sunday: 06:00 - 15:00,Out of Range
,Monday: CLOSED - CLOSED,bosscatcheesest_1stavegourmetde_ue,Monday: 06:00 - 00:00,Out of Range
,Tuesday: CLOSED - CLOSED,bosscatcheesest_1stavegourmetde_ue,Tuesday: 06:00 - 00:00,Out of Range
,Wednesday: CLOSED - CLOSED,bosscatcheesest_1stavegourmetde_ue,Wednesday: 06:00 - 00:00,Out of Range
,Thursday: CLOSED - CLOSED,bosscatcheesest_1stavegourmetde_ue,Thursday: 06:00 - 00:00,Out of Range
,Friday: CLOSED - CLOSED,bosscatcheesest_1stavegourmetde_ue,Friday: 06:00 - 00:00,Out of Range
,Saturday: CLOSED - CLOSED,bosscatcheesest_1stavegourmetde_ue,Saturday: 06:00 - 00:00,Out of Range
,Sunday: CLOSED - CLOSED,bosscatcheesest_1stavegourmetde_ue,Sunday: 06:00 - 00:00,Out of Range
